"unique_id","month","province","district","territory","ppl_killed","adults_kidnapped","infants_kidnapped"
293,"11-Mar","Orientale","Haut-Uele","Dungu",,2,1
294,"11-Mar","Orientale","Haut-Uele","Faradje",,,
295,"11-Mar","Orientale","Haut-Uele","Faradje",,3,
296,"11-Mar","Orientale","Bas-Uele","Ango",,8,
297,"11-Mar","Orientale","Bas-Uele","Ango",,,
298,"11-Mar","Orientale","Bas-Uele","Ango",8,,
299,"11-Apr","Orientale","Haut-Uele","Dungu",1,,
300,"11-Apr","Orientale","Haut-Uele","Dungu",,2,
301,"11-Apr","Orientale","Haut-Uele","Dungu",1,,
302,"11-Apr","Orientale","Haut-Uele","Dungu",2,,
303,"11-Apr","Orientale","Haut-Uele","Dungu",1,,
304,"11-Apr","Orientale","Haut-Uele","Dungu",1,,
305,"11-Apr","Orientale","Haut-Uele","Dungu",,2,
306,"11-Apr","Orientale","Haut-Uele","Dungu",,,
307,"11-Apr","Orientale","Haut-Uele","Dungu",,2,
308,"11-Apr","Orientale","Haut-Uele","Dungu",,1,
309,"11-Apr","Orientale","Haut-Uele","Niangara",7,5,3
310,"11-Apr","Orientale","Bas-Uele","Ango",,,
311,"11-Apr","Orientale","Bas-Uele","Ango",,,
312,"11-May","Orientale","Haut-Uele","Dungu",,1,
313,"11-May","Orientale","Haut-Uele","Dungu",,1,1
314,"11-May","Orientale","Haut-Uele","Dungu",,1,
315,"11-May","Orientale","Haut-Uele","Dungu",,,
316,"11-May","Orientale","Haut-Uele","Dungu",,,
317,"11-May","Orientale","Haut-Uele","Dungu",,,
318,"11-May","Orientale","Haut-Uele","Dungu",,,
319,"11-May","Orientale","Haut-Uele","Dungu",,1,
320,"11-May","Orientale","Haut-Uele","Dungu",1,1,
321,"11-May","Orientale","Haut-Uele","Niangara",2,,
322,"11-May","Orientale","Haut-Uele","Niangara",,,
323,"11-May","Orientale","Haut-Uele","Faradje",,,12
324,"11-May","Orientale","Haut-Uele","Faradje",,,2
325,"11-May","Orientale","Haut-Uele","Faradje",2,,
326,"11-May","Orientale","Haut-Uele","Faradje",,,1
327,"11-May","Orientale","Bas-Uele","Ango",1,,
328,"11-May","Orientale","Bas-Uele","Ango",,,
