"unique_id","month","month_text","province","district","territory","locality","ppl_killed","adults_kidnapped","infants_kidnapped"
247,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Nakale (12Km N de Duru)",,,
248,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Udu (20 km E de Faradje)",,1,1
249,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Yabinzo (35 Km NE de Bangadi). ",,,
250,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Nangume 108 Km E Dungu, route Faradje. ",,,
251,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Pont Nangume (100 Km de Dungu), ",,6,
252,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Bayote (25 Km O Bitima, Nord de Dungu) ",3,,1
253,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Bamokandji (6 Km Dungu, route Ngilima)",,1,
254,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Nakubu (3 km E de Limay)",,,
255,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Sambia (140 km E de Dungu)",2,,
256,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Sambia (140 km E de Dungu)",,1,
257,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Nasala (120 km E de Dungu)",,,
258,"11-Feb","February-2011","Orientale","Haut-Uele","Dungu","Bayote (45 Km au nord de Ngilima)",3,,
